#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2023-02-04T22:56:07 [V7.296]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	version=7.296	
#INFO	-ref=VIZ63dee04aa90d1	
#INFO	-out.max=unlimited	
#INFO	queryParameters=15	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/MNRAS/506/150&tab:{J/MNRAS/506/150/stars}&key:source=J/MNRAS/506/150/stars&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/MNRAS/506/150/stars
#-order=I
#-out=GALAH
#-out=Flagsp
#Flagsp=32
#-out=Teff
#-out=logg
#-out=[Fe/H]
#

#RESOURCE=yCat_75060150
#Name: J/MNRAS/506/150
#Title: The GALAH+ Survey DR3 (Buder+, 2021)
#Coosys	H_2015.500:	ICRS
#Table	J_MNRAS_506_150_stars:
#Name: J/MNRAS/506/150/stars
#Title: GALAH DR3 main all stars
#Column	GALAH	(I15)	GALAH identifier (sobject_id)	[ucd=meta.id;meta.main]
#Column	Flagsp	(I4)	Stellar parameter quality flag (flag_sp) (1)	[ucd=meta.code]
#Column	Teff	(F7.2)	? Spectroscopic effective temperature (used for fitting) (teff)	[ucd=phys.temperature.effective]
#Column	logg	(F9.6)	? Surface gravity (not fitted via spectra if wg4_pipeline not free) (logg)	[ucd=phys.gravity]
#Column	[Fe/H]	(F9.6)	? Fe atomic abundance from Fe lines (final, 1D-NLTE) (fe_h)	[ucd=phys.abund.Fe]
GALAH;Flagsp;Teff;logg;[Fe/H]
170711003001066;  32;5779.90; 3.882783;-0.345914
170711003001106;  32;5963.37; 3.962791;-0.755708
170711003001154;  32;6072.26; 4.100301;-0.191298
170711003001314;  32;5727.17; 4.042004; 0.063950
170711003501041;  32;6223.25; 3.926025;-0.473241
170711003501058;  32;5899.37; 3.982130; 0.089860
170711003501335;  32;5920.21; 4.217006;-0.329228
170711004001063;  32;5616.29; 4.083750;-0.520607
170711004001108;  32;5895.15; 4.204791;-0.559078
170711004001118;  32;5775.55; 4.020289;-0.557036
170711004001135;  32;5068.65; 3.396768;-0.149245
170711004501021;  32;5305.33; 4.044624;-0.553556
170711004501035;  32;5656.08; 3.929844; 0.351226
170711005101026;  32;5552.80; 4.093269;-0.342524
170711005101104;  32;5484.82; 4.104080;-0.408307
170711005101153;  32;5790.54; 3.843697;-0.279628
170712001601008;  32;6350.71; 3.248029;-0.543101
170712001601023;  32;6078.19; 3.490340;-0.383204
170712001601081;  32;6459.63; 3.854412;-0.744381
170712001601112;  32;6531.27; 3.746144;-0.671041
170712001601226;  32;5470.59; 3.293628;-0.066970
170712002101057;  32;5055.32; 3.588227; 0.012454
170712002101064;  32;5752.42; 3.712458;-0.464804
170712002101080;  32;5982.94; 3.863547;-0.620402
170712002101117;  32;5976.36; 3.832946;-0.367290
170712002101229;  32;6229.01; 4.021935;-0.465004
170712002101234;  32;6120.65; 3.973269;-1.187333
170712002101297;  32;6137.24; 3.508600;-0.538147
170712002101334;  32;5743.92; 4.100498;-0.268520
170712002601013;  32;6272.71; 4.104266;-0.262750
170712002601110;  32;5694.05; 4.099675;-0.226986
170712002601315;  32;6237.78; 3.943775;-0.041557
170712002601352;  32;6078.32; 3.811002;-0.373300
170712003101005;  32;6522.35; 3.758868;-0.805771
170712003101021;  32;5227.28; 3.403917;-0.670807
170712003101110;  32;5816.90; 3.814457;-0.674422
170712003101233;  32;6279.03; 3.932376;-0.405554
170712003101349;  32;5774.51; 3.791840;-0.255859
170712003101355;  32;6006.30; 4.086513;-0.191097
170712003101359;  32;5790.44; 4.181808; 0.217099
170712003601072;  32;5938.14; 4.023747;-0.639191
170712003601157;  32;6486.91; 3.837875;-0.338140
170712003601186;  32;6138.06; 3.762674;-0.964093
170712004201024;  32;5692.57; 4.124895;-0.404757
170712004201285;  32;5511.17; 4.035846;-0.323608
170712004201359;  32;5898.63; 3.854704;-0.276293
170712004201362;  32;5917.54; 4.105238;-0.805074
170712004801199;  32;5740.63; 4.213226;-0.563137
170712004801283;  32;5963.09; 3.813082;-0.494348
170712004801393;  32;6031.07; 4.092467;-0.643520
170712005301187;  32;5646.84; 3.888619;-0.423266
170712005301240;  32;5858.61; 3.812081;-0.552299
170712005301381;  32;5755.44; 4.108762;-0.236351
170713001601059;  32;5969.23; 3.980176;-0.168509
170713001601220;  32;6078.80; 3.783163;-0.797378
170713001601285;  32;6208.16; 4.123547;-0.408998
170713001601313;  32;6607.68; 3.679990;-0.563784
170713002101016;  32;5704.32; 3.890447;-0.290214
170713002101083;  32;6150.57; 4.017438;-0.212998
170713002101319;  32;6247.77; 4.017694;-0.753972
170713002601095;  32;6572.17; 3.789221;-0.370158
170713002601228;  32;5900.23; 4.091392;-0.472463
170713003101026;  32;6086.55; 3.618167;-0.681964
170713003601002;  32;6184.98; 3.910360;-0.435473
170713003601031;  32;5790.86; 4.071093; 0.131421
170713003601064;  32;6008.34; 3.801078;-0.701040
170713003601132;  32;5901.81; 3.984141;-0.357134
170713003601174;  32;6084.14; 3.832675;-0.281874
170713003601189;  32;5881.54; 3.560393;-0.494945
170713003601288;  32;6090.23; 3.646434;-0.286797
170713004101045;  32;5862.71; 3.854093;-0.234302
170713004101049;  32;6188.33; 3.989556;-0.150426
170713004101188;  32;5803.90; 3.879327;-0.667228
170713004601010;  32;5814.06; 3.840261;-1.205199
170713004601095;  32;5578.44; 4.032268;-0.090860
170713005101019;  32;5727.59; 4.049662;-0.562903
170713005101021;  32;5461.73; 4.147490;-0.015965
170713005101024;  32;5547.58; 4.057034; 0.163559
170713005101369;  32;6015.61; 4.028052;-0.549791
170713005601009;  32;5430.92; 4.156534;-0.053858
170713005601147;  32;5790.76; 4.068501;-0.304300
170713006101012;  32;6042.51; 4.041535;-0.593213
170713006101135;  32;5712.49; 4.085869;-0.262575
170713006101171;  32;5751.90; 3.831665;-0.631036
170723001601207;  32;5591.24; 4.130352;-0.071104
170723001601275;  32;6494.65; 3.689381;-0.840126
170723002601168;  32;6401.69; 3.678161;-0.329798
170723002601175;  32;6181.54; 3.841709;-0.490041
170723002601211;  32;5491.61; 3.914508;-0.019104
170723002601222;  32;5920.09; 3.893800;-0.272327
170723002601346;  32;6259.87; 3.890153; 0.046475
170723003101023;  32;6033.71; 3.746288;-0.019197
170723003101187;  32;6014.69; 3.716417;-0.527721
170723003101272;  32;6296.61; 3.898623;-0.232246
170723003601221;  32;5688.68; 3.987983;-1.035001
170723003601354;  32;5837.86; 4.050142;-0.925486
170723003601395;  32;5688.62; 3.892027;-0.617352
170723004101139;  32;6061.58; 4.087694;-0.564091
170723004101143;  32;6123.44; 3.979063;-0.554080
170723004101168;  32;5992.27; 3.991864;-0.982194
170723004101306;  32;5741.38; 3.866700;-0.608961
170723004601379;  32;5762.13; 3.913127;-1.084304
170723005101087;  32;5869.46; 4.023148;-0.987363
170723005101224;  32;6187.08; 3.837457;-1.074460
170723005101243;  32;5798.33; 4.064403;-0.356754
170723005101353;  32;5812.64; 4.470533;-0.504117
170724001601014;  32;6063.00; 4.061308;-0.193987
170724001601021;  32;6309.87; 4.115326;-0.301763
170724001601064;  32;6282.42; 3.830708;-0.489470
170724001601092;  32;6168.54; 3.651343;-0.176766
170724001601181;  32;5714.12; 3.996363;-0.259501
170724001601293;  32;6094.59; 4.166250;-0.380339
170724002101024;  32;5004.68; 2.763277;-0.877248
170724002101089;  32;5490.81; 3.206945;-0.797429
170724002601019;  32;5235.79; 3.732673; 0.039598
170724002601067;  32;5750.64; 3.936622;-0.227007
170724002601376;  32;5207.49; 3.954832;-0.582688
170724003601190;  32;5592.17; 4.197392;-0.411944
170724003601208;  32;5795.90; 4.006476;-0.490459
170724004101061;  32;5681.12; 4.074893;-0.340578
170724004101119;  32;5867.03; 3.933353;-0.948637
170724004101206;  32;5532.46; 3.938293;-0.200848
170724004101234;  32;5436.40; 3.762305;-0.612998
170724004601365;  32;5251.90; 3.697440;-0.393043
170725001601105;  32;6364.89; 3.356723;-1.289951
170725002101001;  32;5779.85; 4.107101;-0.664514
170725003101032;  32;5638.65; 3.841397; 0.110300
170725003601008;  32;5800.61; 3.901221;-0.177998
170725004101103;  32;5697.45; 3.725319;-0.844232
170725004101293;  32;5593.83; 3.987266;-0.172421
170725004101372;  32;5854.73; 4.154139;-0.869392
170725004601076;  32;5182.51; 3.755254;-0.690138
170725004601301;  32;5598.17; 4.187846;-0.489166
170725004601319;  32;5785.73; 4.274244; 0.305492
170725005101202;  32;5037.90; 3.270619;-0.583309
170801002501125;  32;6407.25; 3.803176;-0.579686
170801002501196;  32;5896.43; 3.719920;-0.366248
170801002501204;  32;6202.71; 4.028401;-0.319369
170801002501303;  32;5774.20; 3.583594;-0.603431
170801002801055;  32;5530.39; 4.017527;-0.728739
170801002801080;  32;5850.21; 4.072858;-0.211913
170801002801359;  32;6301.85; 4.028493;-0.443383
170801003401103;  32;5733.46; 4.109761;-0.182461
170801003401111;  32;6064.11; 3.961838;-0.082935
170801003401255;  32;5690.28; 4.056921; 0.196260
170801003401330;  32;5494.17; 4.200737; 0.057759
170801003401338;  32;6072.76; 3.667813;-0.386356
170801003401362;  32;5800.09; 3.454593;-0.862234
170801003401380;  32;5985.89; 3.639308;-0.453191
170801004001012;  32;5544.74; 4.023883;-0.616216
170801004001025;  32;5967.31; 4.102100;-0.516381
170801004001204;  32;6219.78; 3.974737;-0.242130
170801004601017;  32;5627.41; 4.316881; 0.081590
170801004601072;  32;5842.80; 3.993097;-0.047379
170801004601080;  32;5516.80; 4.047416;-0.527311
170801004601182;  32;5777.82; 3.813896;-0.369466
170801004601252;  32;5835.77; 4.075857;-0.528391
170801004601345;  32;6174.50; 3.809300;-0.704320
170801004601361;  32;5728.86; 4.168142;-0.638931
170801004601367;  32;6147.71; 3.932580;-0.384875
170801004601385;  32;5416.93; 3.797616;-0.079767
170801005201094;  32;5771.29; 3.893922;-0.944549
170801005201217;  32;5936.58; 4.090583;-0.576121
170801005201288;  32;6184.60; 3.933898;-0.630779
170801005201303;  32;6261.43; 3.932321;-0.424161
170801005201352;  32;6265.18; 3.819552;-0.578654
170802001801049;  32;6456.17; 4.035429;-0.670343
170802001801082;  32;5678.14; 3.972768; 0.128563
170802001801221;  32;6040.51; 3.403235;-0.353413
170802002101177;  32;6340.50; 3.941639;-0.351697
170802002601095;  32;5569.26; 3.600344;-0.239157
170802002601143;  32;5582.17; 4.054707;-0.138960
170802002601165;  32;6229.88; 3.938231;-0.971402
170802002601167;  32;6326.27; 3.619324;-0.441620
170802002601282;  32;5662.38; 4.232328;-0.118843
170802002601359;  32;5288.14; 3.424956;-0.306384
170802002601366;  32;6151.89; 3.825726;-0.192315
170802002601370;  32;6429.24; 3.853639;-0.381062
170802003201054;  32;6392.92; 3.945282;-0.527142
170802003201136;  32;5945.88; 4.019962;-0.069533
170802003201154;  32;5902.54; 3.880447;-0.181239
170802003201232;  32;5992.00; 4.021424;-0.533315
170802003201318;  32;6087.09; 4.193522;-0.276513
170802003201323;  32;5640.34; 4.182848;-0.349479
170802003201384;  32;5649.40; 4.048492;-0.225777
170802003201390;  32;5995.98; 4.075737;-0.404795
170802003801022;  32;5798.35; 3.969149;-0.358972
170802003801127;  32;5514.99; 4.007121; 0.201856
170802004301022;  32;5873.38; 4.049403;-0.097262
170802004301175;  32;5549.07; 3.852818;-0.093829
170802004301396;  32;5809.50; 3.955302;-0.488580
170802004901067;  32;5816.41; 3.872942;-0.680456
170802004901260;  32;5748.13; 3.798397;-0.231588
170802004901268;  32;5759.55; 4.151135;-0.616861
170805001601017;  32;6658.52; 3.850054;-0.554686
170805001601168;  32;6291.71; 4.058761;-0.498612
170805002101244;  32;6517.25; 3.866078;-0.549303
170805002601292;  32;6222.05; 3.935903;-0.229115
170805003101017;  32;5666.24; 3.972444;-0.515468
170805003101043;  32;5677.90; 4.047398;-0.477729
170805003101047;  32;6295.73; 3.906896;-1.005834
170805003101098;  32;5754.91; 3.896625;-0.149959
170805003101113;  32;6443.55; 3.797344;-0.426292
170805003101129;  32;5641.21; 3.947627;-0.263129
170805003101206;  32;5812.08; 3.676461;-0.619528
170805003101225;  32;5594.28; 3.897675;-0.397011
170805003101229;  32;5799.88; 4.059751;-0.274355
170805003101336;  32;5424.73; 4.129968;-0.202589
170805003101349;  32;6302.30; 3.926102;-0.510962
170805003601226;  32;5626.10; 3.789731;-0.676825
170805004101062;  32;5630.73; 3.817149;-0.229204
170805004101072;  32;5827.81; 4.291605;-0.446874
170805004101092;  32;5711.37; 3.947269;-0.465298
170805004101104;  32;6245.23; 4.303640;-0.234817
170805004101111;  32;5721.93; 3.926536;-0.425808
170805004101115;  32;5874.28; 4.058226; 0.018870
170805004101118;  32;5211.87; 3.442264;-0.546499
170805004101128;  32;5864.26; 4.216575;-0.199542
170805004101142;  32;5651.24; 4.308959; 0.195967
170805004101143;  32;5743.67; 4.336365;-0.335576
170805004101149;  32;5249.93; 4.698649;-0.268021
170805004101174;  32;5963.32; 4.262646;-0.690259
170805004101210;  32;5742.26; 4.271539;-0.434381
170805004101365;  32;6342.89; 4.257494; 0.158191
170805005101125;  32;5629.79; 4.096192;-0.869597
170805005101228;  32;6023.05; 4.078385;-0.579613
170805005101254;  32;5997.75; 4.372466;-0.253084
170805005101354;  32;5661.30; 3.896609;-0.343989
170805005101390;  32;6094.08; 3.905607;-1.068373
170806001601012;  32;6453.98; 3.721443;-0.850448
170806001601185;  32;6571.42; 3.720866;-0.432773
170806001601222;  32;6041.36; 3.709354;-0.423621
170806001601307;  32;5754.31; 4.074754;-0.656987
170806001601341;  32;5381.94; 3.361444;-0.285070
170806002101133;  32;5919.77; 4.082051;-0.258301
170806002101353;  32;6254.64; 4.097315;-0.373244
170806002801283;  32;5761.12; 4.108692; 0.232569
170806002801354;  32;6443.99; 4.003669;-0.331275
170806003201124;  32;5739.56; 4.079249;-0.064351
170806003201274;  32;5381.92; 3.714450;-0.544199
170806003201296;  32;5938.30; 3.628150;-0.736720
170806003701283;  32;5643.41; 4.042475; 0.412719
170806004701034;  32;5286.78; 3.791324;-0.549868
170806004701035;  32;5730.56; 4.185373;-0.181636
170806004701039;  32;5640.94; 4.037755;-0.529705
170806004701040;  32;5378.37; 4.558939;-0.132284
170806004701077;  32;5620.62; 3.865951;-0.461411
170806004701081;  32;5834.95; 4.130065;-0.464132
170806004701094;  32;5928.63; 3.664423;-0.396468
170806004701102;  32;5799.29; 4.250613;-0.532418
170806004701106;  32;5426.12; 4.593718; 0.044261
170806004701123;  32;5450.85; 4.366261;-0.740347
170806004701155;  32;6281.90; 4.139317;-0.473586
170806004701160;  32;5997.75; 4.448987;-0.661507
170806004701174;  32;5391.77; 4.587795;-0.651333
170806004701196;  32;5437.35; 4.140140;-0.373320
170806004701209;  32;5463.11; 3.634727;-0.419764
170806004701246;  32;6234.35; 4.157275;-0.415872
170806004701255;  32;6142.54; 4.098453;-0.547433
170806004701289;  32;5471.84; 3.657221;-0.765846
170806004701315;  32;5971.45; 4.149902;-0.135359
170806004701331;  32;5529.09; 4.766833;-1.302711
170806005201011;  32;5762.26; 4.194740;-0.694508
170806005201014;  32;5603.05; 4.170067;-0.435280
170806005201017;  32;5242.16; 1.796381;-0.995129
170806005201029;  32;5475.19; 3.636248;-0.238344
170806005201042;  32;6017.11; 3.905504;-0.347287
170806005201043;  32;5328.90; 3.522574;-0.865077
170806005201052;  32;5064.20; 3.602136;-0.693080
170806005201061;  32;4898.43; 2.049986;-0.719325
170806005201069;  32;5705.49; 4.104465;-0.409655
170806005201080;  32;5485.38; 3.892605;-0.400284
170806005201091;  32;5926.56; 3.937269;-0.370425
170806005201094;  32;5015.60; 4.532785;-0.331438
170806005201097;  32;4996.54; 2.506905;-0.350438
170806005201128;  32;5792.61; 4.277355;-0.241441
170806005201185;  32;5586.76; 4.484049;-0.466685
170806005201269;  32;5855.20; 4.047080;-0.837173
170806005201287;  32;6450.59; 3.849699;-0.705153
170806005201358;  32;5957.84; 4.035002;-0.553283
170806005201376;  32;5824.82; 4.158676;-0.557331
170806005201393;  32;5537.91; 4.484106;-0.600138
170806005201394;  32;5650.82; 4.135452;-0.653500
170806005201399;  32;5643.54; 4.198354;-0.347622
170806005801255;  32;5844.64; 4.205929;-0.579916
170806005801362;  32;6053.39; 3.989314;-0.679189
170829002401024;  32;6338.30; 3.990578;-0.548692
170829002401184;  32;6114.28; 4.236392;-0.278597
170829002401314;  32;6175.82; 3.681996;-0.114583
170829002401388;  32;5887.78; 4.053729;-0.479500
170830001101121;  32;6057.84; 3.849335;-0.342566
170830001101142;  32;5749.33; 4.077819; 0.079608
170830001101268;  32;5999.95; 3.737718;-0.193578
170830001101377;  32;5842.28; 3.828624; 0.012714
170830001801106;  32;5956.25; 3.934933;-0.306955
170830001801291;  32;6323.84; 3.605119;-0.181018
170830004801033;  32;5602.08; 3.816856;-0.667552
170830004801116;  32;6240.08; 3.949585;-1.176539
170905001601047;  32;6771.54; 3.366476;-0.510722
170905001601190;  32;6032.44; 4.038319;-0.378128
170905001601345;  32;5739.36; 4.165441; 0.108707
170905001601360;  32;6359.69; 3.648431;-0.764596
170905002101023;  32;6614.17; 3.968409;-0.535824
170905002101066;  32;5436.48; 3.462233;-0.477602
170905002101076;  32;6327.09; 3.989696;-0.589081
170905002101359;  32;6099.35; 3.970203;-0.451889
170905002601211;  32;6332.37; 4.099315;-0.497118
170905002601264;  32;6264.95; 3.823654;-0.950872
170905002601284;  32;5934.31; 3.908412;-0.877727
170905002601361;  32;5700.06; 4.018291;-0.368515
170905003501037;  32;5853.96; 4.114102;-0.452295
170905003501122;  32;6066.78; 3.747464;-0.473537
170905003501288;  32;5318.98; 3.622026;-0.197829
170906001601005;  32;6702.50; 3.876703;-0.383681
170906001601266;  32;5506.82; 4.204184; 0.033148
170906002101069;  32;5785.26; 4.040112;-0.713421
170906002101125;  32;5809.01; 4.032650;-0.540917
170906002101201;  32;5338.15; 4.141956; 0.087659
170906002101221;  32;6121.32; 3.835793;-0.298190
170906002101231;  32;6105.61; 3.998869;-0.136385
170906002101233;  32;5979.88; 3.899956;-0.163454
170906002101252;  32;6290.49; 3.654592;-0.691812
170906002101259;  32;6298.71; 3.973297;-0.745932
170906002101283;  32;5963.14; 4.162120;-0.278360
170906002101387;  32;6198.94; 4.007253;-0.818567
170906002601109;  32;6281.76; 3.913231;-0.901605
170906002601269;  32;6161.33; 3.683944;-1.120351
170906002601314;  32;5480.92; 4.156497;-0.366029
170906003101017;  32;5489.49; 4.213316;-1.083062
170906003101146;  32;5522.20; 3.515577; 0.040901
170906003101265;  32;5782.08; 4.063177;-0.369460
170906003101280;  32;5893.30; 4.071841;-0.232621
170906004601025;  32;5675.93; 4.089405;-0.828307
170906004601286;  32;5694.62; 4.147878;-0.304212
170906005101189;  32;5975.17; 3.932532;-0.656226
170906005101319;  32;5622.69; 4.155190;-0.407115
170906005601081;  32;5473.10; 4.196298; 0.066612
170906005601163;  32;4962.19; 2.903068;-0.528970
170906005601181;  32;5839.02; 3.926183;-0.652827
170907001601062;  32;5332.25; 3.581042; 0.176729
170907001601148;  32;6555.89; 3.640659;-0.854544
170907001601312;  32;6463.87; 3.803220;-0.657299
170907001601332;  32;5332.24; 4.290569; 0.313983
170907002101130;  32;6621.73; 4.005001;-0.545866
170907002601034;  32;5493.52; 3.827655; 0.037769
170907002601099;  32;5715.64; 3.966007;-0.558253
170907002601117;  32;5601.14; 4.092199;-0.355589
170907002601220;  32;6158.73; 3.747381;-0.558090
170907002601272;  32;5856.62; 4.116933;-0.607944
170907002601335;  32;5772.78; 3.925694; 0.205093
170907003101048;  32;5784.26; 4.131757;-0.525615
170907003101167;  32;5787.75; 3.837443;-0.416373
170907003601230;  32;5706.44; 4.013686;-0.298960
170907003601273;  32;6089.61; 3.896308;-0.611162
170907003601296;  32;5600.95; 4.078648;-0.124770
170907003601368;  32;5727.34; 4.180365;-0.657524
170907003601382;  32;5453.89; 4.207160; 0.060105
170907004101248;  32;5405.70; 3.822751;-0.545545
170907004101282;  32;5775.73; 4.045686;-0.504561
170907004601113;  32;5902.26; 4.117753;-0.431234
170907004601268;  32;5842.28; 4.080448;-0.292090
170907005201356;  32;5726.96; 4.092618;-0.405177
170907005201387;  32;5487.98; 3.728592;-0.731476
170908001601130;  32;6483.39; 3.967102;-0.301503
170908001601221;  32;6073.39; 3.857339;-0.319833
170908001601388;  32;5859.02; 3.944136;-0.578297
170908002801130;  32;5600.58; 4.020847; 0.138044
170908002801294;  32;5276.10; 3.638311;-0.637114
170909001601004;  32;5982.91; 3.792532;-0.458152
170909001601018;  32;5709.18; 4.198024; 0.174716
170909001601182;  32;5715.37; 4.079868;-0.322315
170909001601233;  32;5737.98; 3.993686; 0.038732
